Account,Company,Order,SKU,Country,Year,Quantity,UnitPrice,transactionComplete
123456784,Loolo INC,99991,s2-supercomputer,Estonia,1972,9695,462,False
123456787,Name IT,99995,s10-supercomputer,French Guiana,1972,2285,203,True
123456770,Kirlosker Service Center,99983,s4-supercomputer,Guyana,2002,8158,206,True
123456779,Kulas Inc,99994,s10-supercomputer,Cambodia,1989,5708,490,True
123456773,Name IT,99981,s4-supercomputer,Benin,1994,7315,460,False
123456787,Loolo INC,99994,s1-supercomputer,Cameroon,1970,4698,522,False
123456783,GitHub,99992,s6-supercomputer,Lithuania,2009,3338,229,True
123456779,Name IT,99991,s4-supercomputer,Djibouti,1993,4824,491,True
123456784,Loolo INC,99986,s10-supercomputer,Iraq,2016,6987,35,True
123456778,ABC Dogma,99995,s4-supercomputer,Slovakia (Slovak Republic),1985,7906,137,True
123456781,Pryianka Ji,99985,s5-supercomputer,Gambia,1972,1545,599,True
123456777,ABC Dogma,99986,s11-supercomputer,South Africa,2014,8405,277,False
123456787,Name IT,99990,s4-supercomputer,Uruguay,1999,456,647,True
123456788,Super Sexy Dingo,99991,s1-supercomputer,Vanuatu,1994,9196,253,True
123456781,SAS Web Tec,99996,s2-supercomputer,Bolivia,1999,9753,542,True
123456771,Loolo INC,99987,s8-supercomputer,Tunisia,1990,2033,36,False
123456777,Kulas Inc,99982,s4-supercomputer,New Caledonia,2007,579,547,False
123456789,Kirlosker Service Center,99981,s7-supercomputer,Uruguay,2009,9585,115,True
123456788,GitHub,99985,s5-supercomputer,Liechtenstein,2004,987,290,False
123456773,Super Sexy Dingo,99992,s4-supercomputer,Mali,2017,5350,683,True
123456782,My SQ Man,99995,s2-supercomputer,Greece,1990,4974,105,False
123456789,ABC Dogma,99990,s8-supercomputer,Uzbekistan,2013,4144,577,False
123456787,Gen Power,99991,s3-supercomputer,Israel,1977,6622,658,False
123456789,My SQ Man,99990,s8-supercomputer,Rwanda,1997,6070,186,False
123456777,Kirlosker Service Center,99987,s6-supercomputer,Tunisia,1989,1780,229,False
123456770,ABC Dogma,99989,s7-supercomputer,Slovakia (Slovak Republic),1995,3554,224,True
123456770,Gen Power,99982,s8-supercomputer,Tuvalu,1987,8028,409,True
123456780,Kulas Inc,99985,s2-supercomputer,Mali,2005,2487,288,True
123456772,Name IT,99999,s6-supercomputer,Ecuador,1975,5722,317,False
123456775,Name IT,99983,s6-supercomputer,Israel,1970,4798,235,True
123456773,SAS Web Tec,99991,s8-supercomputer,Colombia,2001,9131,499,True
123456770,Gen Power,99993,s6-supercomputer,Turks and Caicos Islands,1985,3019,271,True
123456780,Name IT,99995,s6-supercomputer,Grenada,1983,8945,436,False
123456783,Gen Power,99995,s3-supercomputer,Serbia,1981,4185,362,False
123456777,Kulas Inc,99989,s2-supercomputer,Spain,2018,8033,618,False
123456772,Name IT,99995,s7-supercomputer,Nicaragua,1980,1288,313,True
123456782,Will LLC,99992,s3-supercomputer,Norway,1979,1318,293,False
123456781,My SQ Man,99987,s11-supercomputer,Mayotte,1985,1600,654,False
123456789,Kulas Inc,99982,s7-supercomputer,Dominican Republic,1992,996,418,True
123456786,Kirlosker Service Center,99990,s3-supercomputer,Spain,1990,3118,653,True
123456783,Pryianka Ji,99994,s9-supercomputer,Djibouti,1992,2754,262,True
123456770,Loolo INC,99999,s10-supercomputer,Norfolk Island,2017,5274,215,False
123456776,My SQ Man,99980,s1-supercomputer,Northern Mariana Islands,2007,8681,527,True
123456780,Pryianka Ji,99986,s11-supercomputer,Lithuania,1999,1736,162,False
123456776,Gen Power,99980,s8-supercomputer,Colombia,1993,6223,406,True
123456770,ABC Dogma,99981,s9-supercomputer,United States of America,1988,8707,252,False
123456776,Gen Power,99981,s9-supercomputer,Denmark,1996,9119,510,True
123456774,ABC Dogma,99986,s3-supercomputer,Tonga,1983,4422,134,True
123456781,Name IT,99993,s3-supercomputer,Switzerland,2007,1157,642,False
123456782,Gen Power,99989,s4-supercomputer,Peru,1983,1236,395,False
123456783,ABC Dogma,99985,s7-supercomputer,Dominican Republic,2005,6371,242,True
123456786,Pryianka Ji,99986,s8-supercomputer,Syrian Arab Republic,1971,5901,13,True
123456789,Kirlosker Service Center,99989,s6-supercomputer,Mayotte,1973,4691,116,True
123456783,ABC Dogma,99994,s8-supercomputer,Togo,1987,733,92,True
123456772,Will LLC,99985,s7-supercomputer,Micronesia,1979,3085,340,True
123456788,My SQ Man,99992,s8-supercomputer,Oman,1975,7022,596,False
123456777,Name IT,99981,s7-supercomputer,Saint Barthelemy,1982,5407,71,True
123456772,Super Sexy Dingo,99993,s7-supercomputer,Greenland,1994,1131,233,True
123456776,Gen Power,99985,s8-supercomputer,Jersey,1978,4099,307,True
123456783,GitHub,99982,s1-supercomputer,Ghana,1998,6316,375,True
123456788,My SQ Man,99989,s1-supercomputer,Benin,1999,3788,370,False
123456774,Loolo INC,99997,s4-supercomputer,Costa Rica,1982,9666,369,False
123456778,ABC Dogma,99985,s9-supercomputer,Costa Rica,2014,7175,509,True
123456770,Kulas Inc,99985,s4-supercomputer,Gabon,1972,7242,156,False
123456783,Kulas Inc,99990,s9-supercomputer,Bahrain,2011,3758,182,False
123456785,Gen Power,99998,s9-supercomputer,Belgium,2002,2830,545,False
123456784,Kirlosker Service Center,99992,s11-supercomputer,Jersey,1972,6128,118,False
123456784,Name IT,99999,s2-supercomputer,Svalbard & Jan Mayen Islands,2004,4592,625,True
123456783,Name IT,99996,s2-supercomputer,El Salvador,2004,5656,96,True
123456783,ABC Dogma,99994,s5-supercomputer,Western Sahara,1980,1619,56,False
123456782,Will LLC,99997,s3-supercomputer,Grenada,2019,2079,247,True
123456786,My SQ Man,99992,s11-supercomputer,United Arab Emirates,2017,1277,173,True
123456785,Name IT,99993,s2-supercomputer,Guatemala,1982,1219,277,False
123456783,Gen Power,99981,s4-supercomputer,Libyan Arab Jamahiriya,1988,3195,346,True
123456781,Name IT,99986,s8-supercomputer,Barbados,2001,9785,493,False
123456784,Pryianka Ji,99989,s8-supercomputer,Croatia,1984,5486,697,True
123456781,ABC Dogma,99985,s2-supercomputer,South Africa,2010,1915,111,False
123456788,GitHub,99980,s7-supercomputer,Congo,1972,8893,45,True
123456770,GitHub,99990,s7-supercomputer,Timor-Leste,2012,7521,306,True
123456780,Kirlosker Service Center,99992,s9-supercomputer,Turks and Caicos Islands,1973,5921,214,False
123456785,Kulas Inc,99983,s6-supercomputer,Brazil,1979,8494,262,True
123456785,Kulas Inc,99982,s2-supercomputer,Lesotho,1990,6894,651,False
123456787,Kulas Inc,99986,s7-supercomputer,United States Minor Outlying Islands,1993,7108,126,True
123456776,ABC Dogma,99994,s8-supercomputer,Anguilla,1984,741,485,False
123456779,GitHub,99982,s4-supercomputer,Lesotho,1984,1487,99,False
123456774,My SQ Man,99980,s6-supercomputer,Greece,2004,6169,39,True
123456777,Super Sexy Dingo,99987,s10-supercomputer,Cape Verde,1970,8241,339,True
123456771,Kulas Inc,99998,s9-supercomputer,Bahrain,1997,621,685,False
123456778,Will LLC,99993,s10-supercomputer,Svalbard & Jan Mayen Islands,1997,8178,646,True
123456779,GitHub,99996,s6-supercomputer,Afghanistan,1976,7620,30,False
123456786,Will LLC,99992,s1-supercomputer,Brazil,1972,3580,222,True
123456787,Pryianka Ji,99985,s8-supercomputer,Iraq,1987,6810,272,True
123456770,Name IT,99998,s3-supercomputer,Sudan,2018,4341,384,False
123456785,Super Sexy Dingo,99995,s1-supercomputer,Lithuania,2019,7414,475,True
123456777,Name IT,99990,s7-supercomputer,Greece,1999,454,542,True
123456774,Kulas Inc,99996,s4-supercomputer,Czech Republic,1995,2491,161,True
123456789,Will LLC,99993,s1-supercomputer,Norway,1999,4726,398,False
123456775,Loolo INC,99980,s5-supercomputer,Cook Islands,2008,6351,532,False
123456784,ABC Dogma,99981,s11-supercomputer,Tunisia,1992,4997,422,True
123456783,Super Sexy Dingo,99981,s3-supercomputer,Heard Island and McDonald Islands,1995,5612,239,False
123456773,Super Sexy Dingo,99992,s5-supercomputer,Samoa,1981,5602,146,True
123456788,ABC Dogma,99982,s4-supercomputer,Macedonia,2009,1163,644,False
123456775,Kulas Inc,99990,s6-supercomputer,Cameroon,1972,3121,435,True
123456787,Super Sexy Dingo,99999,s9-supercomputer,Madagascar,2016,3061,229,True
123456775,My SQ Man,99997,s10-supercomputer,Zimbabwe,1971,5249,272,False
123456783,My SQ Man,99990,s9-supercomputer,Samoa,2017,5298,379,True
123456775,My SQ Man,99992,s7-supercomputer,Haiti,1970,9797,614,True
123456783,Name IT,99981,s7-supercomputer,Netherlands Antilles,1971,4037,528,False
123456787,Name IT,99981,s2-supercomputer,Palestinian Territory,2016,1908,73,True
123456775,Loolo INC,99996,s5-supercomputer,Djibouti,2005,4944,131,False
123456772,Name IT,99998,s8-supercomputer,South Georgia and the South Sandwich Islands,2019,3359,232,False
123456779,Gen Power,99994,s5-supercomputer,Georgia,1988,7074,403,True
123456789,Pryianka Ji,99991,s4-supercomputer,Kiribati,1986,3371,92,False
123456782,Pryianka Ji,99989,s3-supercomputer,Lebanon,1979,9244,97,True
123456778,Loolo INC,99990,s2-supercomputer,Niue,2005,432,50,True
123456778,Kulas Inc,99998,s11-supercomputer,Belgium,2015,3494,663,True
123456787,Will LLC,99999,s5-supercomputer,South Africa,2007,6563,652,False
123456787,Will LLC,99995,s9-supercomputer,Pitcairn Islands,1991,187,458,False
123456775,Kulas Inc,99992,s6-supercomputer,Croatia,2010,8783,43,False
123456776,GitHub,99994,s1-supercomputer,Sao Tome and Principe,2018,5354,573,False
123456782,ABC Dogma,99985,s1-supercomputer,Moldova,2000,9758,624,False
123456783,My SQ Man,99997,s10-supercomputer,Niue,1985,802,620,True
123456784,Gen Power,99985,s7-supercomputer,Palau,1977,1888,667,False
123456781,SAS Web Tec,99980,s4-supercomputer,Zimbabwe,2010,4419,363,True
123456779,GitHub,99995,s10-supercomputer,Sudan,1986,4638,82,False
123456780,My SQ Man,99993,s3-supercomputer,Italy,1979,8154,616,True
123456781,Pryianka Ji,99999,s8-supercomputer,Maldives,1981,7478,168,False
123456789,Loolo INC,99981,s1-supercomputer,Egypt,1982,9113,43,True
123456779,Pryianka Ji,99991,s10-supercomputer,Philippines,1987,803,578,True
123456788,Super Sexy Dingo,99999,s11-supercomputer,Estonia,1995,8116,25,True
123456782,Kirlosker Service Center,99991,s6-supercomputer,United Kingdom,2004,6993,338,False
123456771,My SQ Man,99996,s3-supercomputer,Uruguay,1998,3113,225,False
123456786,Loolo INC,99986,s3-supercomputer,El Salvador,1982,9806,335,True
123456780,GitHub,99998,s10-supercomputer,Jamaica,1970,9557,591,False
123456774,ABC Dogma,99991,s8-supercomputer,Nicaragua,2001,7026,544,False
123456781,Name IT,99992,s11-supercomputer,Bosnia and Herzegovina,1987,862,507,True
123456778,Gen Power,99990,s9-supercomputer,Georgia,1998,281,630,False
123456781,Will LLC,99987,s6-supercomputer,Kenya,1972,4702,468,True
123456773,Will LLC,99982,s11-supercomputer,Aruba,1973,4787,309,True
123456778,ABC Dogma,99997,s5-supercomputer,Equatorial Guinea,1990,829,371,False
123456771,Kirlosker Service Center,99994,s9-supercomputer,Serbia,1973,6110,127,True
123456775,Kulas Inc,99992,s7-supercomputer,Western Sahara,1996,6272,329,False
123456776,Gen Power,99987,s5-supercomputer,Canada,1975,3516,318,False
123456775,Gen Power,99993,s9-supercomputer,Niue,2000,8693,440,True
123456771,ABC Dogma,99987,s1-supercomputer,Ethiopia,2000,3203,449,False
123456771,Gen Power,99997,s6-supercomputer,Gabon,1995,6247,23,False
123456781,Super Sexy Dingo,99981,s9-supercomputer,Cook Islands,1971,7031,649,True
123456772,SAS Web Tec,99987,s1-supercomputer,British Indian Ocean Territory (Chagos Archipelago),1971,8363,254,True
123456787,Super Sexy Dingo,99991,s3-supercomputer,Hong Kong,1995,659,384,False
123456785,SAS Web Tec,99983,s10-supercomputer,Lesotho,2002,788,674,True
123456775,Pryianka Ji,99985,s4-supercomputer,Saint Pierre and Miquelon,1999,2038,175,True
123456773,Pryianka Ji,99982,s10-supercomputer,Barbados,1987,8503,331,True
123456780,Gen Power,99996,s11-supercomputer,Kuwait,1984,1969,21,False
123456770,SAS Web Tec,99998,s4-supercomputer,Moldova,1970,8731,607,False
123456782,SAS Web Tec,99997,s10-supercomputer,Hungary,1991,465,413,True
123456786,Pryianka Ji,99980,s10-supercomputer,Rwanda,1985,5976,511,False
123456779,Pryianka Ji,99983,s5-supercomputer,Hong Kong,1981,66,523,False
123456781,Kulas Inc,99995,s8-supercomputer,Iraq,1975,3494,226,True
123456782,GitHub,99994,s3-supercomputer,Guinea-Bissau,2018,1430,698,True
123456789,Loolo INC,99992,s2-supercomputer,Norfolk Island,1991,2110,372,False
123456780,Super Sexy Dingo,99998,s5-supercomputer,Chile,1975,2967,635,True
123456777,Name IT,99997,s7-supercomputer,Martinique,1997,4811,70,False
123456772,Gen Power,99987,s11-supercomputer,Saint Vincent and the Grenadines,1973,6174,619,False
123456780,GitHub,99987,s11-supercomputer,Indonesia,2008,6568,12,True
123456788,Pryianka Ji,99996,s10-supercomputer,Colombia,1990,1365,388,True
123456778,Kulas Inc,99980,s1-supercomputer,Costa Rica,1998,770,335,False
123456787,Kulas Inc,99987,s8-supercomputer,Faroe Islands,2016,4148,355,False
123456784,ABC Dogma,99982,s6-supercomputer,Saint Vincent and the Grenadines,1974,3053,432,False
123456773,ABC Dogma,99993,s4-supercomputer,Falkland Islands (Malvinas),2002,818,62,False
123456778,Loolo INC,99986,s11-supercomputer,French Southern Territories,2004,4107,549,False
123456773,Kirlosker Service Center,99985,s5-supercomputer,Tunisia,2019,7076,255,True
123456774,My SQ Man,99989,s4-supercomputer,Botswana,1997,8388,604,True
123456780,ABC Dogma,99986,s2-supercomputer,Guinea-Bissau,2002,1753,544,False
123456772,Super Sexy Dingo,99985,s7-supercomputer,Reunion,2001,7464,606,False
123456779,Super Sexy Dingo,99992,s5-supercomputer,Kyrgyz Republic,2008,3526,218,False
123456774,SAS Web Tec,99994,s1-supercomputer,Tanzania,2018,5391,583,True
123456785,Kirlosker Service Center,99997,s9-supercomputer,Austria,2017,8923,132,False
123456771,Kirlosker Service Center,99986,s4-supercomputer,Falkland Islands (Malvinas),1982,7651,200,True
123456775,Will LLC,99995,s4-supercomputer,Norway,1980,3265,265,True
123456781,Super Sexy Dingo,99982,s1-supercomputer,Aruba,2011,1049,297,False
123456780,Kulas Inc,99994,s11-supercomputer,Bangladesh,1970,8333,681,True
123456789,Gen Power,99980,s3-supercomputer,Hungary,1971,779,355,True
123456782,Name IT,99998,s9-supercomputer,Denmark,1988,2995,26,True
123456786,ABC Dogma,99985,s4-supercomputer,Yemen,1974,3405,694,False
123456785,Will LLC,99993,s2-supercomputer,Colombia,1972,661,79,True
123456786,Gen Power,99985,s7-supercomputer,Uzbekistan,2014,1012,227,True
123456783,Gen Power,99999,s11-supercomputer,Nigeria,1990,9743,268,True
123456778,Loolo INC,99985,s6-supercomputer,El Salvador,2010,9981,409,True
123456789,Name IT,99987,s1-supercomputer,Rwanda,2009,1845,25,False
123456777,Loolo INC,99985,s5-supercomputer,Poland,1998,6963,564,False
123456779,Kirlosker Service Center,99987,s4-supercomputer,Aruba,1989,1826,490,True
123456771,Will LLC,99997,s2-supercomputer,Albania,2000,9225,63,False
123456788,My SQ Man,99998,s8-supercomputer,Papua New Guinea,1977,2137,381,True
123456778,Loolo INC,99989,s6-supercomputer,Chile,1993,9009,96,True
123456775,Name IT,99981,s11-supercomputer,United States Minor Outlying Islands,2004,2388,694,False
123456783,My SQ Man,99980,s4-supercomputer,Syrian Arab Republic,2014,9672,220,False
123456783,Gen Power,99985,s5-supercomputer,Guinea-Bissau,2006,7208,114,True
123456789,GitHub,99990,s3-supercomputer,Korea,1991,7384,516,True
123456774,Kirlosker Service Center,99999,s5-supercomputer,Namibia,1979,6991,396,True
123456788,Pryianka Ji,99993,s10-supercomputer,Greenland,2018,1300,574,True
123456778,SAS Web Tec,99992,s5-supercomputer,Samoa,1984,2994,584,False
123456781,Loolo INC,99998,s1-supercomputer,Sudan,1979,487,402,True
123456788,ABC Dogma,99999,s2-supercomputer,Heard Island and McDonald Islands,2014,2098,266,False
123456775,My SQ Man,99994,s5-supercomputer,Kenya,1988,8435,73,False
123456784,Gen Power,99985,s7-supercomputer,Austria,2006,1322,642,False
123456784,My SQ Man,99981,s11-supercomputer,Timor-Leste,1990,2396,309,False
123456772,ABC Dogma,99999,s7-supercomputer,Syrian Arab Republic,2014,2509,151,False
123456772,GitHub,99985,s4-supercomputer,Jordan,2013,3848,353,True
123456770,Loolo INC,99980,s5-supercomputer,Malta,2012,2616,302,True
123456779,Will LLC,99994,s1-supercomputer,Trinidad and Tobago,1989,2283,161,True
123456783,ABC Dogma,99998,s3-supercomputer,Mali,2008,7683,536,True
123456777,Kirlosker Service Center,99985,s9-supercomputer,Bouvet Island (Bouvetoya),1999,5700,65,True
123456784,Will LLC,99981,s9-supercomputer,Samoa,1980,4851,203,False
123456782,Kulas Inc,99993,s9-supercomputer,British Indian Ocean Territory (Chagos Archipelago),1991,9042,465,True
123456788,Kulas Inc,99983,s2-supercomputer,Micronesia,1998,9776,71,True
123456782,GitHub,99997,s8-supercomputer,Qatar,1992,929,582,True
123456771,Pryianka Ji,99983,s8-supercomputer,Central African Republic,1989,8106,186,True
123456774,Kulas Inc,99991,s1-supercomputer,Mauritius,1972,7633,645,True
123456778,Kirlosker Service Center,99992,s10-supercomputer,Saudi Arabia,2002,5456,695,False
123456772,Gen Power,99980,s10-supercomputer,Russian Federation,2008,8387,580,True
123456784,Kirlosker Service Center,99994,s10-supercomputer,Philippines,2012,6163,342,True
123456782,Pryianka Ji,99998,s11-supercomputer,Guyana,2010,4555,100,False
123456785,ABC Dogma,99996,s8-supercomputer,Sri Lanka,2009,1503,450,False
123456779,Super Sexy Dingo,99996,s6-supercomputer,Bulgaria,2017,8476,24,False
123456773,Pryianka Ji,99998,s11-supercomputer,Timor-Leste,1988,2955,286,False
123456774,Kulas Inc,99986,s8-supercomputer,Cyprus,1981,5638,87,False
123456787,Loolo INC,99996,s2-supercomputer,Liberia,2017,9884,240,True
123456788,GitHub,99999,s6-supercomputer,Liberia,1986,9150,18,True
123456776,Will LLC,99985,s2-supercomputer,Tunisia,1975,9387,360,True
123456772,Super Sexy Dingo,99990,s7-supercomputer,Cuba,1971,3098,77,True
123456773,Gen Power,99992,s5-supercomputer,Solomon Islands,2013,9238,29,True
123456783,SAS Web Tec,99980,s4-supercomputer,French Polynesia,2006,4714,447,False
123456784,Will LLC,99982,s3-supercomputer,Chad,2019,1570,396,True
123456772,Kulas Inc,99998,s10-supercomputer,Azerbaijan,1995,5168,616,False
123456781,GitHub,99982,s11-supercomputer,Guatemala,1978,6762,545,True
123456783,Loolo INC,99983,s9-supercomputer,Togo,1998,5315,444,False
123456779,Loolo INC,99999,s1-supercomputer,Spain,1973,8201,632,True
123456776,My SQ Man,99995,s1-supercomputer,Turks and Caicos Islands,1993,1106,175,False
123456776,Pryianka Ji,99994,s6-supercomputer,Libyan Arab Jamahiriya,1991,4546,657,True
123456781,Super Sexy Dingo,99990,s7-supercomputer,Sweden,1998,9856,381,False
123456787,Super Sexy Dingo,99985,s11-supercomputer,Yemen,2018,8578,364,True
123456770,ABC Dogma,99989,s9-supercomputer,Central African Republic,1971,103,639,True
123456788,Will LLC,99986,s11-supercomputer,Singapore,1971,3392,386,False
123456774,Super Sexy Dingo,99985,s8-supercomputer,Liechtenstein,2019,5462,97,False
123456781,SAS Web Tec,99990,s8-supercomputer,Colombia,2019,8070,675,False
123456777,Super Sexy Dingo,99990,s1-supercomputer,United Kingdom,1985,9084,304,True
123456770,Name IT,99992,s6-supercomputer,Kazakhstan,1991,4207,302,False
123456781,Gen Power,99990,s2-supercomputer,Myanmar,2013,84,330,True
123456782,My SQ Man,99996,s11-supercomputer,Poland,2001,9251,603,True
123456788,Super Sexy Dingo,99981,s3-supercomputer,Slovakia (Slovak Republic),2019,8409,240,True
123456771,Will LLC,99981,s2-supercomputer,Holy See (Vatican City State),1980,5519,41,True
123456787,Name IT,99983,s5-supercomputer,Tuvalu,1974,8501,60,True
123456789,Pryianka Ji,99982,s9-supercomputer,Norway,2010,7915,128,False
123456772,Loolo INC,99985,s11-supercomputer,Heard Island and McDonald Islands,1997,4334,21,False
123456771,Gen Power,99980,s10-supercomputer,Tokelau,2002,9754,280,False
123456774,Kulas Inc,99990,s10-supercomputer,United Kingdom,1982,7058,619,False
123456770,Pryianka Ji,99996,s7-supercomputer,Pitcairn Islands,1983,7759,683,True
123456785,Name IT,99985,s10-supercomputer,Jordan,1974,6199,339,True
123456770,Super Sexy Dingo,99990,s9-supercomputer,El Salvador,1991,6188,548,False
123456770,My SQ Man,99995,s2-supercomputer,Korea,1984,2787,396,True
123456778,Pryianka Ji,99986,s2-supercomputer,Swaziland,1990,2718,111,False
123456786,Kulas Inc,99999,s10-supercomputer,New Zealand,1995,9651,202,True
123456777,Loolo INC,99990,s7-supercomputer,Macedonia,1981,1746,550,False
123456787,Kulas Inc,99983,s6-supercomputer,Togo,1983,260,517,False
123456784,My SQ Man,99985,s11-supercomputer,Saint Kitts and Nevis,2015,2118,536,False
123456784,Kirlosker Service Center,99996,s9-supercomputer,Aruba,1973,5344,45,False
123456776,Loolo INC,99999,s5-supercomputer,Niger,1987,2590,301,False
123456772,Kulas Inc,99980,s9-supercomputer,Vanuatu,2003,9561,686,False
123456777,ABC Dogma,99991,s4-supercomputer,Belize,1983,3069,116,True
123456770,Gen Power,99985,s7-supercomputer,Saudi Arabia,1975,3526,551,False
123456773,Pryianka Ji,99987,s1-supercomputer,Central African Republic,2014,7620,521,False
123456777,Kirlosker Service Center,99985,s9-supercomputer,Trinidad and Tobago,1988,7517,507,True
123456789,Will LLC,99994,s10-supercomputer,Aruba,2015,4468,39,True
123456773,Kirlosker Service Center,99982,s9-supercomputer,Tajikistan,2016,6789,692,True
123456779,GitHub,99996,s5-supercomputer,Barbados,2002,6269,535,False
123456781,My SQ Man,99998,s4-supercomputer,Comoros,1984,9764,204,True
123456773,Super Sexy Dingo,99981,s8-supercomputer,Palestinian Territory,1971,4159,607,True
123456784,SAS Web Tec,99985,s7-supercomputer,Mozambique,1990,2736,219,False
123456781,Loolo INC,99985,s3-supercomputer,Slovenia,2013,9231,394,True
123456773,GitHub,99997,s1-supercomputer,Costa Rica,2017,2463,66,False
123456785,Pryianka Ji,99998,s2-supercomputer,Saint Lucia,1989,966,440,False
123456771,Loolo INC,99994,s8-supercomputer,Bahrain,2014,5133,317,False
123456778,Pryianka Ji,99986,s2-supercomputer,Cambodia,1978,5564,498,True
123456776,Loolo INC,99989,s4-supercomputer,Canada,1989,8503,389,True
123456776,Super Sexy Dingo,99991,s5-supercomputer,Cyprus,1994,1368,206,True
123456779,Kirlosker Service Center,99989,s1-supercomputer,Botswana,2011,7119,557,False
